ticker,n_bets,win_rate,avg_win_pct,avg_loss_pct,ev_pct,total_pnl_pct,profit_factor,bets_per_day,setup,barriers
CF,250,36.4,7.598,-9.134,-3.043,-760.86,0.48,0.099,IBS_10_90,1.5:1/5d
SPY,307,39.4,3.433,-6.382,-2.514,-771.68,0.35,0.122,IBS_10_90,1.5:1/5d
QQQ,332,37.7,3.967,-3.56,-0.726,-240.99,0.67,0.132,IBS_10_90,1.5:1/5d
IWM,270,38.9,4.382,-5.481,-1.645,-444.28,0.51,0.108,IBS_10_90,1.5:1/5d
XLF,279,37.6,3.851,-7.04,-2.941,-820.51,0.33,0.111,IBS_10_90,1.5:1/5d
XLE,263,38.8,3.807,-95.77,-57.151,-15030.6,0.03,0.104,IBS_10_90,1.5:1/5d
XLK,345,28.4,3.448,-88.856,-62.637,-21609.61,0.02,0.137,IBS_10_90,1.5:1/5d
XLV,277,36.1,2.884,-7.135,-3.518,-974.57,0.23,0.11,IBS_10_90,1.5:1/5d
XLP,267,33.3,1.85,-11.048,-6.749,-1801.85,0.08,0.106,IBS_10_90,1.5:1/5d
GLD,261,45.2,1.397,-0.913,0.132,34.33,1.26,0.104,IBS_10_90,1.5:1/5d
TLT,272,39.3,2.081,-11.937,-6.423,-1746.96,0.11,0.108,IBS_10_90,1.5:1/5d
AMD,301,40.5,5.394,-4.169,-0.293,-88.19,0.88,0.12,IBS_10_90,1.5:1/5d
INTC,286,42.7,5.274,-7.827,-2.239,-640.24,0.5,0.114,IBS_10_90,1.5:1/5d
CRM,291,45.7,3.776,-2.953,0.122,35.61,1.08,0.115,IBS_10_90,1.5:1/5d
