sharpe,cagr_pct,max_dd_pct,calmar,realized_vol_pct,total_return_pct,final_equity,skew,kurtosis,n_years,allocation,vol_method,vol_window,vol_target,rebalance_freq,signal_id,signal_name,test,rebal_threshold
0.862,4.66,6.02,0.774,6.23,32.73,663663.0,-0.227,2.231,6.2,equal_weight,atr,20,0.12,daily,MA-03,SMA(50/200),vol_target,
0.967,5.03,5.17,0.972,6.18,38.96,694784.0,-0.088,2.657,6.7,equal_weight,atr,20,0.12,daily,MA-02,EMA(20/50),vol_target,
0.915,4.42,7.03,0.628,6.04,33.6,668009.0,0.009,1.989,6.7,equal_weight,atr,20,0.12,daily,SE-02,Price>EMA(50),vol_target,
1.021,6.35,7.94,0.801,7.55,45.31,726573.0,-0.143,1.945,6.1,equal_weight,atr,20,0.15,daily,TS-04,TSMOM(252d),vol_target,
1.011,6.84,6.61,1.035,8.47,55.79,778969.0,-0.201,2.619,6.7,equal_weight,atr,20,0.15,daily,MA-04,EMA(10/100),vol_target,
0.851,5.81,7.48,0.776,8.11,42.05,710269.0,-0.233,2.363,6.2,equal_weight,atr,20,0.15,daily,MA-03,SMA(50/200),vol_target,
0.968,6.28,6.45,0.974,7.98,50.37,751871.0,-0.082,2.752,6.7,equal_weight,atr,20,0.15,daily,MA-02,EMA(20/50),vol_target,
0.91,5.5,8.72,0.631,7.81,43.19,715955.0,-0.004,2.043,6.7,equal_weight,atr,20,0.15,daily,SE-02,Price>EMA(50),vol_target,
1.011,8.46,10.5,0.805,10.72,63.69,818432.0,-0.134,2.077,6.1,equal_weight,atr,20,0.2,daily,TS-04,TSMOM(252d),vol_target,
0.996,9.11,8.73,1.043,12.22,79.34,896715.0,-0.188,2.851,6.7,equal_weight,atr,20,0.2,daily,MA-04,EMA(10/100),vol_target,
0.833,7.71,9.88,0.78,11.57,58.68,793388.0,-0.243,2.598,6.2,equal_weight,atr,20,0.2,daily,MA-03,SMA(50/200),vol_target,
0.969,8.34,8.55,0.975,11.24,71.05,855262.0,-0.07,2.956,6.7,equal_weight,atr,20,0.2,daily,MA-02,EMA(20/50),vol_target,
0.901,7.3,11.48,0.636,11.03,60.31,801541.0,-0.026,2.163,6.7,equal_weight,atr,20,0.2,daily,SE-02,Price>EMA(50),vol_target,
1.034,3.4,4.27,0.795,3.69,22.46,612285.0,-0.153,1.793,6.1,equal_weight,atr,20,0.08,daily,TS-04,TSMOM(252d),rebalancing,0.0
1.028,3.65,3.57,1.024,4.05,27.2,636000.0,-0.22,2.361,6.7,equal_weight,atr,20,0.08,daily,MA-04,EMA(10/100),rebalancing,0.0
1.052,3.52,4.16,0.846,3.75,23.34,616724.0,-0.129,1.844,6.1,equal_weight,atr,20,0.08,daily,TS-04,TSMOM(252d),rebalancing,0.1
1.018,3.67,3.54,1.036,4.09,27.29,636474.0,-0.206,2.291,6.7,equal_weight,atr,20,0.08,daily,MA-04,EMA(10/100),rebalancing,0.1
0.989,3.39,4.68,0.723,3.82,22.39,611952.0,-0.164,1.824,6.1,equal_weight,atr,20,0.08,daily,TS-04,TSMOM(252d),rebalancing,0.25
0.981,3.65,3.57,1.021,4.21,27.13,635631.0,-0.23,2.39,6.7,equal_weight,atr,20,0.08,daily,MA-04,EMA(10/100),rebalancing,0.25
1.136,3.83,4.01,0.955,3.77,25.62,628119.0,-0.147,1.75,6.1,equal_weight,atr,20,0.08,weekly,TS-04,TSMOM(252d),rebalancing,0.0
1.068,3.87,2.7,1.43,4.12,28.95,644752.0,-0.246,2.41,6.7,equal_weight,atr,20,0.08,weekly,MA-04,EMA(10/100),rebalancing,0.0
1.128,3.83,4.18,0.916,3.79,25.62,628115.0,-0.14,1.7,6.1,equal_weight,atr,20,0.08,weekly,TS-04,TSMOM(252d),rebalancing,0.1
1.047,3.81,2.61,1.459,4.13,28.49,642465.0,-0.254,2.38,6.7,equal_weight,atr,20,0.08,weekly,MA-04,EMA(10/100),rebalancing,0.1
1.078,3.72,4.51,0.825,3.84,24.83,624131.0,-0.147,1.699,6.1,equal_weight,atr,20,0.08,weekly,TS-04,TSMOM(252d),rebalancing,0.25
1.035,3.87,2.75,1.406,4.24,28.96,644809.0,-0.276,2.538,6.7,equal_weight,atr,20,0.08,weekly,MA-04,EMA(10/100),rebalancing,0.25
