strategy,n_trades,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,trades_per_year,turnover_pct,n_stocks_traded,sub_periods
IBS0.2_RSI3_25_hold3,28553,52.6,2.325,-2.327,95.21,6.06,0.42,0.382,-50.37,2512.3,12561.7,166,"{'2014-2017': {'sharpe': 0.112, 'return_pct': 1.79}, '2018-2021': {'sharpe': 0.629, 'return_pct': 58.44}, '2022-2024': {'sharpe': 0.294, 'return_pct': 11.66}}"
IBS0.2_RSI3_30_hold1,38841,49.64,1.322,-1.378,-37.59,-4.06,-0.234,-0.247,-50.11,3415.2,17075.9,166,"{'2014-2017': {'sharpe': -0.163, 'return_pct': -8.8}, '2018-2021': {'sharpe': -0.001, 'return_pct': -6.29}, '2022-2024': {'sharpe': -0.857, 'return_pct': -26.11}}"
IBS0.2_RSI3_30_hold2,34142,51.86,1.884,-1.886,54.22,3.88,0.313,0.324,-37.16,3003.1,15015.3,166,"{'2014-2017': {'sharpe': -0.023, 'return_pct': -6.17}, '2018-2021': {'sharpe': 0.65, 'return_pct': 48.2}, '2022-2024': {'sharpe': 0.162, 'return_pct': 4.05}}"
IBS0.2_RSI3_30_hold3,31637,52.83,2.331,-2.325,134.61,7.79,0.491,0.461,-49.81,2783.7,13918.5,166,"{'2014-2017': {'sharpe': 0.182, 'return_pct': 5.86}, '2018-2021': {'sharpe': 0.727, 'return_pct': 76.94}, '2022-2024': {'sharpe': 0.315, 'return_pct': 13.69}}"
IBS0.2_RSI3_35_hold1,43026,49.67,1.316,-1.377,-42.06,-4.69,-0.246,-0.265,-53.83,3783.2,18915.8,166,"{'2014-2017': {'sharpe': -0.229, 'return_pct': -11.92}, '2018-2021': {'sharpe': -0.001, 'return_pct': -7.66}, '2022-2024': {'sharpe': -0.836, 'return_pct': -27.51}}"
IBS0.2_RSI3_35_hold2,37600,51.94,1.867,-1.876,59.06,4.17,0.32,0.339,-38.74,3307.2,16536.1,166,"{'2014-2017': {'sharpe': -0.019, 'return_pct': -6.21}, '2018-2021': {'sharpe': 0.631, 'return_pct': 50.34}, '2022-2024': {'sharpe': 0.206, 'return_pct': 6.66}}"
IBS0.2_RSI3_35_hold3,34604,52.86,2.31,-2.311,147.41,8.3,0.5,0.482,-50.21,3044.8,15223.8,166,"{'2014-2017': {'sharpe': 0.171, 'return_pct': 5.26}, '2018-2021': {'sharpe': 0.724, 'return_pct': 79.89}, '2022-2024': {'sharpe': 0.371, 'return_pct': 18.44}}"
IBS0.25_RSI3_25_hold1,39892,49.3,1.304,-1.368,-45.55,-5.2,-0.334,-0.348,-50.35,3507.6,17538.0,166,"{'2014-2017': {'sharpe': -0.106, 'return_pct': -6.55}, '2018-2021': {'sharpe': -0.12, 'return_pct': -13.48}, '2022-2024': {'sharpe': -1.11, 'return_pct': -31.2}}"
IBS0.25_RSI3_25_hold2,34732,51.32,1.866,-1.879,25.01,1.98,0.202,0.21,-44.65,3055.0,15274.8,166,"{'2014-2017': {'sharpe': -0.071, 'return_pct': -9.08}, '2018-2021': {'sharpe': 0.502, 'return_pct': 33.02}, '2022-2024': {'sharpe': 0.051, 'return_pct': -1.67}}"
IBS0.25_RSI3_25_hold3,32181,52.34,2.298,-2.311,82.2,5.42,0.375,0.351,-54.48,2831.6,14157.8,166,"{'2014-2017': {'sharpe': 0.09, 'return_pct': 0.36}, '2018-2021': {'sharpe': 0.575, 'return_pct': 54.92}, '2022-2024': {'sharpe': 0.229, 'return_pct': 7.96}}"
IBS0.25_RSI3_30_hold1,44784,49.5,1.313,-1.366,-43.86,-4.95,-0.263,-0.279,-52.78,3937.7,19688.7,166,"{'2014-2017': {'sharpe': -0.095, 'return_pct': -6.63}, '2018-2021': {'sharpe': -0.018, 'return_pct': -9.01}, '2022-2024': {'sharpe': -1.056, 'return_pct': -32.52}}"
IBS0.25_RSI3_30_hold2,38677,51.42,1.859,-1.873,31.41,2.43,0.226,0.237,-44.08,3402.0,17009.8,166,"{'2014-2017': {'sharpe': -0.02, 'return_pct': -6.39}, '2018-2021': {'sharpe': 0.484, 'return_pct': 34.21}, '2022-2024': {'sharpe': 0.063, 'return_pct': -1.56}}"
IBS0.25_RSI3_30_hold3,35553,52.64,2.296,-2.312,115.75,7.0,0.439,0.418,-55.19,3128.3,15641.3,166,"{'2014-2017': {'sharpe': 0.177, 'return_pct': 5.64}, '2018-2021': {'sharpe': 0.624, 'return_pct': 65.0}, '2022-2024': {'sharpe': 0.284, 'return_pct': 11.81}}"
IBS0.25_RSI3_35_hold1,49659,49.56,1.306,-1.362,-47.72,-5.54,-0.268,-0.287,-56.15,4366.4,21831.9,166,"{'2014-2017': {'sharpe': -0.168, 'return_pct': -10.21}, '2018-2021': {'sharpe': -0.002, 'return_pct': -9.35}, '2022-2024': {'sharpe': -1.022, 'return_pct': -34.0}}"
IBS0.25_RSI3_35_hold2,42595,51.57,1.844,-1.864,37.17,2.82,0.243,0.261,-44.76,3746.6,18732.9,166,"{'2014-2017': {'sharpe': -0.011, 'return_pct': -6.03}, '2018-2021': {'sharpe': 0.493, 'return_pct': 37.86}, '2022-2024': {'sharpe': 0.102, 'return_pct': 0.29}}"
IBS0.25_RSI3_35_hold3,38850,52.67,2.273,-2.301,120.17,7.19,0.437,0.427,-55.75,3418.4,17091.8,166,"{'2014-2017': {'sharpe': 0.155, 'return_pct': 4.2}, '2018-2021': {'sharpe': 0.61, 'return_pct': 65.01}, '2022-2024': {'sharpe': 0.331, 'return_pct': 15.67}}"
BB-2.0_RSI3_30_hold2,11780,51.71,2.044,-2.249,-12.56,-1.18,-0.084,-0.069,-30.37,1042.7,5213.5,166,"{'2014-2017': {'sharpe': 0.105, 'return_pct': 2.05}, '2018-2021': {'sharpe': -0.162, 'return_pct': -9.1}, '2022-2024': {'sharpe': -0.337, 'return_pct': -6.86}}"
BB-2.0_RSI3_30_hold3,10583,52.23,2.531,-2.795,-10.61,-0.99,-0.026,-0.019,-40.91,937.1,4685.4,166,"{'2014-2017': {'sharpe': 0.237, 'return_pct': 6.55}, '2018-2021': {'sharpe': -0.079, 'return_pct': -10.24}, '2022-2024': {'sharpe': -0.497, 'return_pct': -10.03}}"
BB-2.0_RSI3_30_hold5,9417,54.59,3.225,-3.304,64.48,4.51,0.405,0.272,-49.3,834.4,4172.1,166,"{'2014-2017': {'sharpe': 1.256, 'return_pct': 42.98}, '2018-2021': {'sharpe': 0.259, 'return_pct': 12.46}, '2022-2024': {'sharpe': -0.112, 'return_pct': -3.04}}"
BB-2.0_RSI3_35_hold2,12087,51.76,2.028,-2.253,-15.14,-1.44,-0.104,-0.083,-32.62,1069.9,5349.4,166,"{'2014-2017': {'sharpe': 0.096, 'return_pct': 1.73}, '2018-2021': {'sharpe': -0.146, 'return_pct': -9.49}, '2022-2024': {'sharpe': -0.447, 'return_pct': -8.9}}"
BB-2.0_RSI3_35_hold3,10809,52.31,2.519,-2.788,-10.49,-0.98,-0.025,-0.018,-40.91,957.1,4785.4,166,"{'2014-2017': {'sharpe': 0.207, 'return_pct': 5.44}, '2018-2021': {'sharpe': -0.051, 'return_pct': -8.68}, '2022-2024': {'sharpe': -0.525, 'return_pct': -10.65}}"
BB-2.0_RSI3_35_hold5,9550,54.52,3.215,-3.302,62.32,4.39,0.396,0.267,-49.06,846.2,4231.0,166,"{'2014-2017': {'sharpe': 1.206, 'return_pct': 40.87}, '2018-2021': {'sharpe': 0.284, 'return_pct': 14.8}, '2022-2024': {'sharpe': -0.207, 'return_pct': -5.03}}"
BB-2.0_RSI3_40_hold2,12258,51.65,2.023,-2.253,-17.28,-1.66,-0.124,-0.099,-33.35,1085.0,5425.0,166,"{'2014-2017': {'sharpe': 0.075, 'return_pct': 0.97}, '2018-2021': {'sharpe': -0.166, 'return_pct': -10.7}, '2022-2024': {'sharpe': -0.454, 'return_pct': -9.08}}"
BB-2.0_RSI3_40_hold3,10915,52.29,2.514,-2.784,-11.12,-1.04,-0.029,-0.021,-41.2,966.5,4832.4,166,"{'2014-2017': {'sharpe': 0.202, 'return_pct': 5.28}, '2018-2021': {'sharpe': -0.07, 'return_pct': -9.89}, '2022-2024': {'sharpe': -0.493, 'return_pct': -10.13}}"
BB-2.0_RSI3_40_hold5,9609,54.41,3.211,-3.306,58.88,4.19,0.383,0.26,-49.04,851.4,4257.2,166,"{'2014-2017': {'sharpe': 1.186, 'return_pct': 40.4}, '2018-2021': {'sharpe': 0.286, 'return_pct': 15.01}, '2022-2024': {'sharpe': -0.302, 'return_pct': -6.92}}"
BB-2.5_RSI3_30_hold2,4488,50.89,2.174,-2.331,-5.79,-0.53,-0.072,-0.046,-12.72,397.3,1986.3,166,"{'2014-2017': {'sharpe': -0.024, 'return_pct': -1.31}, '2018-2021': {'sharpe': 0.052, 'return_pct': 0.55}, '2022-2024': {'sharpe': -0.641, 'return_pct': -5.98}}"
BB-2.5_RSI3_30_hold3,4307,51.99,2.634,-2.823,-0.97,-0.09,0.02,0.012,-19.46,381.4,1906.8,166,"{'2014-2017': {'sharpe': 0.293, 'return_pct': 6.12}, '2018-2021': {'sharpe': -0.008, 'return_pct': -1.86}, '2022-2024': {'sharpe': -0.637, 'return_pct': -6.1}}"
BB-2.5_RSI3_30_hold5,4216,54.44,3.164,-3.253,25.32,2.02,0.331,0.187,-26.84,373.6,1867.8,166,"{'2014-2017': {'sharpe': 1.286, 'return_pct': 24.09}, '2018-2021': {'sharpe': 0.059, 'return_pct': 0.27}, '2022-2024': {'sharpe': -0.093, 'return_pct': -1.18}}"
BB-2.5_RSI3_35_hold2,4541,50.98,2.171,-2.337,-5.92,-0.54,-0.071,-0.045,-12.72,401.9,2009.7,166,"{'2014-2017': {'sharpe': -0.047, 'return_pct': -1.84}, '2018-2021': {'sharpe': 0.061, 'return_pct': 0.76}, '2022-2024': {'sharpe': -0.623, 'return_pct': -5.81}}"
BB-2.5_RSI3_35_hold3,4353,52.06,2.633,-2.828,-0.84,-0.07,0.022,0.013,-18.79,385.4,1927.2,166,"{'2014-2017': {'sharpe': 0.274, 'return_pct': 5.65}, '2018-2021': {'sharpe': 0.007, 'return_pct': -1.33}, '2022-2024': {'sharpe': -0.625, 'return_pct': -6.06}}"
BB-2.5_RSI3_35_hold5,4254,54.37,3.183,-3.254,26.4,2.1,0.339,0.194,-26.72,376.9,1884.7,166,"{'2014-2017': {'sharpe': 1.257, 'return_pct': 23.37}, '2018-2021': {'sharpe': 0.111, 'return_pct': 2.45}, '2022-2024': {'sharpe': -0.155, 'return_pct': -1.88}}"
BB-2.5_RSI3_40_hold2,4567,51.06,2.174,-2.334,-5.21,-0.47,-0.059,-0.038,-12.69,404.2,2021.2,166,"{'2014-2017': {'sharpe': -0.044, 'return_pct': -1.78}, '2018-2021': {'sharpe': 0.067, 'return_pct': 0.91}, '2022-2024': {'sharpe': -0.561, 'return_pct': -5.3}}"
BB-2.5_RSI3_40_hold3,4372,52.08,2.629,-2.822,-0.6,-0.05,0.025,0.015,-18.77,387.1,1935.6,166,"{'2014-2017': {'sharpe': 0.276, 'return_pct': 5.72}, '2018-2021': {'sharpe': 0.007, 'return_pct': -1.34}, '2022-2024': {'sharpe': -0.604, 'return_pct': -5.88}}"
BB-2.5_RSI3_40_hold5,4271,54.3,3.177,-3.253,25.46,2.03,0.329,0.188,-26.72,378.4,1892.2,166,"{'2014-2017': {'sharpe': 1.253, 'return_pct': 23.29}, '2018-2021': {'sharpe': 0.108, 'return_pct': 2.32}, '2022-2024': {'sharpe': -0.206, 'return_pct': -2.43}}"
BB-3.0_RSI3_30_hold2,1232,50.57,1.988,-2.605,-8.57,-0.79,-0.358,-0.136,-9.63,109.3,546.6,166,"{'2014-2017': {'sharpe': -0.231, 'return_pct': -2.7}, '2018-2021': {'sharpe': -0.204, 'return_pct': -1.59}, '2022-2024': {'sharpe': -1.093, 'return_pct': -4.52}}"
BB-3.0_RSI3_30_hold3,1228,50.41,2.609,-2.82,-2.86,-0.26,-0.093,-0.042,-7.4,109.0,544.8,166,"{'2014-2017': {'sharpe': 0.397, 'return_pct': 4.44}, '2018-2021': {'sharpe': -0.215, 'return_pct': -2.37}, '2022-2024': {'sharpe': -1.157, 'return_pct': -4.55}}"
BB-3.0_RSI3_30_hold5,1226,53.18,3.101,-3.067,6.45,0.56,0.254,0.122,-8.15,108.7,543.7,166,"{'2014-2017': {'sharpe': 1.132, 'return_pct': 10.31}, '2018-2021': {'sharpe': 0.097, 'return_pct': 0.94}, '2022-2024': {'sharpe': -0.961, 'return_pct': -4.48}}"
BB-3.0_RSI3_35_hold2,1237,50.53,1.985,-2.595,-8.56,-0.79,-0.357,-0.136,-9.58,109.8,548.8,166,"{'2014-2017': {'sharpe': -0.229, 'return_pct': -2.68}, '2018-2021': {'sharpe': -0.204, 'return_pct': -1.59}, '2022-2024': {'sharpe': -1.095, 'return_pct': -4.53}}"
