indicator,signal,horizon,direction,n_stocks,total_signals,avg_return,median_return,avg_win_rate,avg_t_stat,pct_stocks_positive
trend_ichimoku_conv,P80_short,fwd_1d,short,213,111664,-0.026189201877934276,-0.0289,50.58863849765258,-0.2955352112676056,31.92488262910798
trend_ichimoku_conv,P80_short,fwd_2d,short,213,111664,-0.04971784037558685,-0.0605,50.76652582159625,-0.40542253521126764,31.92488262910798
trend_ichimoku_conv,P80_short,fwd_3d,short,213,111664,-0.0737830985915493,-0.0889,50.571971830985916,-0.49152582159624414,32.3943661971831
trend_ichimoku_conv,P80_short,fwd_5d,short,213,111664,-0.12201549295774648,-0.1568,50.1155868544601,-0.6095399061032863,30.985915492957744
trend_ichimoku_conv,P90_short,fwd_1d,short,213,55744,-0.07774600938967136,-0.0763,49.59849765258216,-0.5958075117370892,23.474178403755868
trend_ichimoku_conv,P90_short,fwd_2d,short,213,55744,-0.15839577464788734,-0.1616,49.64169014084507,-0.84237558685446,24.88262910798122
trend_ichimoku_conv,P90_short,fwd_3d,short,213,55744,-0.2353605633802817,-0.2317,49.07075117370892,-1.017338028169014,23.943661971830984
trend_ichimoku_conv,P90_short,fwd_5d,short,213,55744,-0.3779075117370892,-0.4018,47.8956338028169,-1.266206572769953,23.943661971830984
trend_kst,P10_long,fwd_1d,long,213,55895,0.17075962441314554,0.1523,52.7481220657277,0.8967370892018779,90.14084507042254
trend_kst,P10_long,fwd_2d,long,213,55895,0.3183901408450704,0.268,54.35793427230047,1.2960798122065729,90.14084507042254
trend_kst,P10_long,fwd_3d,long,213,55895,0.4808760563380282,0.4098,55.74079812206573,1.608079812206573,91.54929577464789
trend_kst,P10_long,fwd_5d,long,213,55895,0.7749713615023474,0.6818,56.97342723004695,2.158600938967136,91.54929577464789
trend_kst,P20_long,fwd_1d,long,213,111781,0.12273849765258216,0.1157,52.64737089201878,1.1056572769953052,93.42723004694837
trend_kst,P20_long,fwd_2d,long,213,111781,0.23264507042253524,0.22,54.1075117370892,1.5999061032863848,93.42723004694837
trend_kst,P20_long,fwd_3d,long,213,111781,0.3512492957746479,0.3267,55.03835680751174,1.9603849765258217,93.42723004694837
trend_kst,P20_long,fwd_5d,long,213,111781,0.5760356807511737,0.5429,56.322159624413146,2.5858262910798118,93.42723004694837
trend_kst,P80_short,fwd_1d,short,213,111781,0.052220657276995305,0.037,51.415727699530514,0.5392769953051643,74.17840375586854
trend_kst,P80_short,fwd_2d,short,213,111781,0.1040018779342723,0.0669,52.27845070422535,0.7638028169014084,75.5868544600939
trend_kst,P80_short,fwd_3d,short,213,111781,0.15333286384976527,0.1049,52.64779342723004,0.9294600938967136,76.52582159624414
trend_kst,P80_short,fwd_5d,short,213,111781,0.24880704225352113,0.1546,53.24253521126761,1.208018779342723,75.11737089201877
trend_kst,P90_short,fwd_1d,short,213,55895,0.0481962441314554,0.0207,50.930610328638494,0.2510610328638498,62.91079812206573
trend_kst,P90_short,fwd_2d,short,213,55895,0.10204272300469483,0.0476,51.65746478873239,0.38836619718309856,64.31924882629107
trend_kst,P90_short,fwd_3d,short,213,55895,0.15377323943661972,0.0722,51.93619718309859,0.4966760563380282,63.38028169014085
trend_kst,P90_short,fwd_5d,short,213,55895,0.2390075117370892,0.1316,52.402910798122065,0.6529765258215963,63.84976525821596
trend_kst_diff,P10_long,fwd_1d,long,213,55895,0.08400938967136151,0.0714,52.61854460093897,0.5103380281690141,76.05633802816901
trend_kst_diff,P10_long,fwd_2d,long,213,55895,0.13262394366197183,0.1158,53.224413145539906,0.6450985915492958,70.89201877934272
trend_kst_diff,P10_long,fwd_3d,long,213,55895,0.18741737089201876,0.129,53.630798122065734,0.7344929577464789,70.89201877934272
trend_kst_diff,P10_long,fwd_5d,long,213,55895,0.291368544600939,0.2158,54.56314553990611,0.910450704225352,71.83098591549296
trend_kst_diff,P20_long,fwd_1d,long,213,111781,0.08310469483568075,0.0758,52.599530516431926,0.7964366197183098,84.50704225352112
trend_kst_diff,P20_long,fwd_2d,long,213,111781,0.15246431924882628,0.131,53.43474178403756,1.1010985915492957,84.50704225352112
trend_kst_diff,P20_long,fwd_3d,long,213,111781,0.23095915492957747,0.1823,54.0087323943662,1.340582159624413,84.97652582159625
trend_kst_diff,P20_long,fwd_5d,long,213,111781,0.36033474178403757,0.2989,54.93821596244131,1.667887323943662,84.03755868544602
trend_kst_diff,P80_short,fwd_1d,short,213,111781,0.10798732394366198,0.0855,52.027136150234746,1.138774647887324,89.2018779342723
trend_kst_diff,P80_short,fwd_2d,short,213,111781,0.2196,0.1785,53.448685446009385,1.629619718309859,91.54929577464789
trend_kst_diff,P80_short,fwd_3d,short,213,111781,0.32882723004694836,0.2725,54.29469483568075,2.0037230046948356,90.14084507042254
trend_kst_diff,P80_short,fwd_5d,short,213,111781,0.5437366197183099,0.4363,55.8331455399061,2.607037558685446,90.61032863849765
trend_kst_diff,P90_short,fwd_1d,short,213,55895,0.1428924882629108,0.1202,52.30361502347418,0.9958967136150235,88.73239436619718
trend_kst_diff,P90_short,fwd_2d,short,213,55895,0.2846568075117371,0.242,53.98713615023474,1.4199953051643193,88.26291079812206
trend_kst_diff,P90_short,fwd_3d,short,213,55895,0.42740610328638495,0.3395,54.92183098591549,1.7235539906103288,86.85446009389672
