indicator,signal,threshold,n_signals,horizon,avg_return_pct,win_rate,t_stat,direction,ticker
volume_vwap,P20_long,118.1326,554,fwd_1d,0.1203,53.07,1.788,long,AAPL
volume_vwap,P20_long,118.1326,554,fwd_2d,0.2347,55.42,2.415,long,AAPL
volume_vwap,P20_long,118.1326,554,fwd_3d,0.3515,57.22,2.97,long,AAPL
volume_vwap,P20_long,118.1326,554,fwd_5d,0.5374,56.86,3.63,long,AAPL
volume_vwap,P80_short,211.9307,554,fwd_1d,0.1918,57.32,2.077,short,AAPL
volume_vwap,P80_short,211.9307,554,fwd_2d,0.3704,59.6,3.146,short,AAPL
volume_vwap,P80_short,211.9307,554,fwd_3d,0.5426,63.52,3.754,short,AAPL
volume_vwap,P80_short,211.9307,554,fwd_5d,0.8889,63.93,4.888,short,AAPL
volume_vwap,P90_short,270.7581,277,fwd_1d,0.2155,55.96,1.447,short,AAPL
volume_vwap,P90_short,270.7581,277,fwd_2d,0.4,59.57,2.174,short,AAPL
volume_vwap,P90_short,270.7581,277,fwd_3d,0.5798,63.18,2.525,short,AAPL
volume_vwap,P90_short,270.7581,277,fwd_5d,0.9831,65.34,3.282,short,AAPL
volume_mfi,P10_long,32.2666,277,fwd_1d,0.1974,53.07,1.528,long,AAPL
volume_mfi,P10_long,32.2666,277,fwd_2d,0.3747,54.87,2.116,long,AAPL
volume_mfi,P10_long,32.2666,277,fwd_3d,0.5046,59.93,2.48,long,AAPL
volume_mfi,P10_long,32.2666,277,fwd_5d,0.7046,57.4,3.001,long,AAPL
volume_mfi,P20_long,39.0827,554,fwd_1d,0.1672,53.61,1.721,long,AAPL
volume_mfi,P20_long,39.0827,554,fwd_2d,0.2686,53.97,2.23,long,AAPL
volume_mfi,P20_long,39.0827,554,fwd_3d,0.3536,55.96,2.445,long,AAPL
volume_mfi,P20_long,39.0827,554,fwd_5d,0.4317,55.23,2.5,long,AAPL
volume_mfi,P80_short,69.2418,554,fwd_1d,0.09,52.17,1.667,short,AAPL
volume_mfi,P80_short,69.2418,554,fwd_2d,0.1885,56.14,2.498,short,AAPL
volume_mfi,P80_short,69.2418,554,fwd_3d,0.3559,58.23,3.806,short,AAPL
volume_mfi,P80_short,69.2418,554,fwd_5d,0.6918,60.25,5.711,short,AAPL
volume_mfi,P90_short,75.4551,277,fwd_1d,0.1031,49.82,1.344,short,AAPL
volume_mfi,P90_short,75.4551,277,fwd_2d,0.189,55.23,1.777,short,AAPL
volume_mfi,P90_short,75.4551,277,fwd_3d,0.2426,54.51,1.867,short,AAPL
volume_mfi,P90_short,75.4551,277,fwd_5d,0.695,57.76,4.107,short,AAPL
volume_nvi,P10_long,210.2493,275,fwd_1d,0.1223,51.64,1.495,long,AAPL
