n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
1478,525,953,35.5,1.08,587.62,-299.03,15.92,23522.63,0.51,185.0,4.0,8.0,"CL/Boll-MR(14,2.5)/15min",2:1
693,328,365,47.3,0.86,302.68,-314.6,-22.44,-15550.3,0.24,87.0,2.1,8.0,"CL/Boll-MR(14,3.0)/15min",1:1
689,266,423,38.6,0.91,454.39,-314.19,-17.47,-12034.04,0.24,86.0,3.2,8.0,"CL/Boll-MR(14,3.0)/15min",1.5:1
683,233,450,34.1,0.99,602.07,-315.11,-2.22,-1519.3,0.23,86.0,3.9,8.0,"CL/Boll-MR(14,3.0)/15min",2:1
5813,2858,2955,49.2,0.95,307.59,-312.26,-7.51,-43628.01,1.99,727.0,3.2,8.0,"CL/Boll-MR(20,1.5)/15min",1:1
5295,2102,3193,39.7,0.96,460.58,-314.61,-6.88,-36421.64,1.81,662.0,4.4,8.0,"CL/Boll-MR(20,1.5)/15min",1.5:1
4976,1731,3245,34.8,1.03,611.15,-316.54,6.18,30726.83,1.71,622.0,5.4,8.0,"CL/Boll-MR(20,1.5)/15min",2:1
3402,1660,1742,48.8,0.93,301.09,-307.57,-10.57,-35972.77,1.17,426.0,2.8,8.0,"CL/Boll-MR(20,2.0)/15min",1:1
3232,1295,1937,40.1,0.97,449.49,-308.77,-4.95,-15987.56,1.11,404.0,3.9,8.0,"CL/Boll-MR(20,2.0)/15min",1.5:1
3136,1094,2042,34.9,1.03,595.58,-309.98,5.93,18582.26,1.07,392.0,4.8,8.0,"CL/Boll-MR(20,2.0)/15min",2:1
1687,830,857,49.2,0.96,299.88,-303.42,-6.6,-11129.13,0.58,211.0,2.4,8.0,"CL/Boll-MR(20,2.5)/15min",1:1
1648,655,993,39.7,0.98,451.68,-304.47,-3.94,-6491.16,0.56,206.0,3.5,8.0,"CL/Boll-MR(20,2.5)/15min",1.5:1
1627,562,1065,34.5,1.04,601.42,-305.49,7.78,12654.73,0.56,204.0,4.4,8.0,"CL/Boll-MR(20,2.5)/15min",2:1
878,427,451,48.6,0.91,296.96,-309.1,-14.36,-12603.8,0.3,110.0,2.3,8.0,"CL/Boll-MR(20,3.0)/15min",1:1
872,342,530,39.2,0.93,443.84,-309.14,-13.82,-12050.49,0.3,109.0,3.3,8.0,"CL/Boll-MR(20,3.0)/15min",1.5:1
