n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,symbol,timeframe,rsi_period,oversold,overbought,pt_sl,pt_mult,sl_mult
354,178,176,50.3,1.01,363.36,-363.3,2.08,736.6,0.12,44.0,2.8,8.0,CL,15min,5,5,95,1:1,1.0,1.0
2606,867,1739,33.3,1.0,1621.04,-805.11,2.05,5350.97,0.89,326.0,2.1,8.0,NQ,60min,5,30,70,1:0.5,1.0,0.5
8669,2937,5732,33.9,1.02,351.58,-177.14,1.98,17192.24,2.97,1084.0,6.2,8.0,CL,5min,3,10,90,2:1,2.0,1.0
6546,2206,4340,33.7,1.01,978.37,-494.48,1.87,12219.47,2.24,819.0,6.4,8.0,ES,15min,2,30,70,2:1,2.0,1.0
1793,622,1171,34.7,1.01,931.17,-491.84,1.81,3239.7,0.61,224.0,5.5,8.0,CL,30min,3,10,90,2:1,2.0,1.0
5434,1828,3606,33.6,1.01,645.13,-324.85,1.45,7900.74,1.86,680.0,6.0,8.0,CL,15min,3,20,80,2:1,2.0,1.0
2938,1157,1781,39.4,1.0,1054.03,-682.86,1.14,3337.34,1.01,368.0,4.5,8.0,ES,30min,2,10,90,1.5:1,1.5,1.0
6309,2142,4167,34.0,1.01,351.94,-179.22,1.12,7057.53,2.16,789.0,5.7,8.0,CL,5min,5,15,85,2:1,2.0,1.0
2026,1005,1021,49.6,1.0,960.87,-943.86,0.99,1997.19,0.69,254.0,3.3,8.0,ES,60min,5,30,70,1:1,1.0,1.0
1567,774,793,49.4,1.0,1624.39,-1583.53,0.98,1533.94,0.54,197.0,3.2,8.0,NQ,60min,5,25,75,1:1,1.0,1.0
6433,2568,3865,39.9,1.0,733.5,-485.73,0.98,6273.74,2.2,805.0,5.2,8.0,ES,15min,2,15,85,1.5:1,1.5,1.0
10921,4422,6499,40.5,1.01,263.2,-177.67,0.84,9202.33,3.74,1366.0,5.1,8.0,CL,5min,2,5,95,1.5:1,1.5,1.0
3542,1417,2125,40.0,1.0,1765.62,-1176.01,0.81,2855.19,1.21,443.0,4.7,8.0,NQ,30min,3,25,75,1.5:1,1.5,1.0
