n_bets,n_wins,n_losses,win_rate,profit_factor,avg_win,avg_loss,ev_per_bet,total_pnl,bets_per_day,bets_per_year,avg_bars_held,n_years,setup,pt_sl
4014,1340,2674,33.4,1.01,936.78,-463.67,3.85,15440.24,1.38,502.0,5.7,8.0,ES/RSI(5)+BB(1.5)/15min,2:1
4407,1509,2898,34.2,1.02,640.85,-328.13,3.66,16126.73,1.51,551.0,5.8,8.0,CL/RSI(3)+Kelt(1.5)/15min,2:1
1307,511,796,39.1,1.01,1479.6,-944.17,3.46,4516.46,0.45,164.0,4.5,8.0,ES/RSI(3)+Kelt(1.5)/60min,1.5:1
4260,1456,2804,34.2,1.02,619.12,-316.32,3.4,14467.57,1.46,533.0,5.4,8.0,CL/RSI(3)+BB(1.5)/15min,2:1
1966,805,1161,40.9,1.01,741.64,-508.61,3.32,6521.76,0.67,246.0,4.9,8.0,CL/RSI(3)+Kelt(2.0)/30min,1.5:1
4575,1573,3002,34.4,1.02,613.64,-316.64,3.21,14695.36,1.57,572.0,5.4,8.0,CL/RSI(2)+BB(1.5)/15min,2:1
1211,482,729,39.8,1.0,2423.63,-1597.2,3.16,3831.01,0.42,152.0,4.3,8.0,NQ/RSI(5)+BB(1.5)/60min,1.5:1
1509,516,993,34.2,1.01,597.93,-306.35,2.87,4328.96,0.52,189.0,4.2,8.0,CL/RSI(5)+BB(2.5)/15min,2:1
2022,679,1343,33.6,1.01,1025.01,-513.92,2.86,5787.73,0.69,253.0,5.8,8.0,"ES/MomThrust(3,2.0)/15min",2:1
1640,535,1105,32.6,1.0,2408.76,-1162.03,2.83,4642.79,0.56,205.0,5.6,8.0,NQ/RSI(2)+Kelt(2.0)/30min,2:1
2133,846,1287,39.7,1.01,1055.06,-688.9,2.8,5963.56,0.73,267.0,4.8,8.0,ES/RSI(3)+Kelt(1.5)/30min,1.5:1
1305,428,877,32.8,1.0,1959.88,-952.43,2.72,3546.11,0.45,164.0,5.4,8.0,ES/RSI(3)+Kelt(1.5)/60min,2:1
596,199,397,33.4,1.0,1880.53,-938.61,2.68,1594.83,0.2,75.0,5.3,8.0,ES/RSI(2)+Kelt(2.5)/60min,2:1
1442,592,850,41.1,1.01,699.08,-482.53,2.57,3705.01,0.5,181.0,4.6,8.0,CL/RSI(2)+BB(2.0)/30min,1.5:1
3021,1022,1999,33.8,1.01,909.92,-461.33,2.57,7751.44,1.04,378.0,5.2,8.0,ES/RSI(3)+BB(2.0)/15min,2:1
2392,817,1575,34.2,1.01,665.42,-341.38,2.5,5976.8,0.82,299.0,5.7,8.0,CL/RSI(3)+Kelt(2.5)/15min,2:1
2602,1053,1549,40.5,1.01,507.41,-340.75,2.49,6473.66,0.89,326.0,4.7,8.0,CL/RSI(3)+Kelt(2.5)/15min,1.5:1
4279,1431,2848,33.4,1.0,1642.12,-821.36,2.49,10643.39,1.47,535.0,6.0,8.0,NQ/RSI(2)+Kelt(1.5)/15min,2:1
